Title,Ingredients,Steps
Sup Brenebron Daging Sapi,"250 gram daging sapi ,  potong dadu dan cuci bersih -- 150 gram kacang merah aka kacang brenebron ,  rendam 3 jam -- 2 buah kentang ,  kupas lalu potong dan cuci bersih -- 3 batang wortel ,  kupas lalu potong dan cuci bersih -- 1 buah tomat ,  cuci dan potong potong -- 2 batang seledri -- 2 batang daun bawang -- secukupnya bawang goreng -- secukupnya air -- 1 sdm minyak sayur -- bumbu di haluskan : -- 4 siung bawang putih -- 1 sdt pala bubuk -- 1 sdt merica -- secukupnya garam -- secukupnya gula pasir -- ","Tumis bumbu hingga harum ,  masukkan ke dalam panci dan beri air. masukkan daging sapi. rebus hingga setengah empuk. lalu masukkan kacang merah ,  wortel dan kentang. biarkan hingga empuk. koreksi rasa. masukkan tomat , daun bawang dan seledri. -- Jika sudah enak angkat. beri bawang merah goreng. sajikan selagi hangat."
Pindang tulang sapi,500 gr tulang sapi -- 2 lmbr daun salam -- 1 btng serai -- 2 cm Laos  ( di geprek )  -- 1 bh tomat  ( potong 4 )   /  air asam jawa 1 sdm -- Royco sapi  /  garam -- Bumbu halus : -- 3 siung bawang putih -- 7 siung bawang merah -- 1 cm jahe -- 1 cm kunyit bakar -- 10 bh cabe rawit merah --,"Rebus tulang sapi sampai air berkurang 1 / 2  laos -- Tumis bumbu halus  daun salam  serai -- Masukan tumisan kedalam air rebusan tulang ,  masukan irisan tomat  ( bisa di ganti air asam jawa )   Royco sapi -- Hidangkan selagi hangat -- "
Gulai kepala sapi,"700 gr kepala sapi -- 3 sdm minyak goreng -- 3 btr  kapolaga -- 3 btr cengkih -- 4 cm kayu manis -- 5 cm lengkuas iris tipis dan memarkan -- 2 btg serai memarkan -- 4 lbr daun jeruk -- 1 liter  santan dati 3 / 4 btr kelapa -- 1 sdt air asam jawa -- Secukupnya gula garam sesuai selera -- Bumbu halus: -- 5 bh cabai merah -- 10 bh bawang merah -- 4 siung bawang putih -- 4 btr kemiri bulat ,  sangrai -- 2 cm jahe -- 2 cm kunyit ,  bakar / goreng -- 2 sdm ketumbar sangrai -- 1 sdt jinten sangrai -- 1 / 2 sdm merica sangrai -- 1 / 4 sdt adas -- ","Didihkan air ,  lalu rebus kepala sapi kurang lebih 10 menit ,  buang air rebusan lalu cuci daging. Rebus kembali hingga setengah empuk. Lalu potong potong ukuran sesuai selera. Masukan kembali kedalam air rebusan. Sisihkam -- Tumis bumbu halus hingga benar bena matang ,  tuang kedalam rebusan daging bersama bumbu rempah. -- Masak daging hingga empuk. Kalau air menyusut tambahkan lagi air panas secukupnya. -- Masukan santan dan air asam jawa ,  masak hingga hingga mendidih dan santan berminyak. Koreksi rasa. -- Siap dihidangkan bersama nasi ,  sambal rawit dan acar -- "
Krengseng tulang sapi,1 / 2 kg tulang sapi -- 1 sdm petis -- 2 sdm kecap manis -- Bumbu yang dihaluskan: -- 4 siung bawang merah -- 2 siung bawang putih -- 1 sdm merica -- 1 buah tomat -- 5 cabe rawit  ( sesuai selera masing² )  -- 3 cabe merah -- Kunyit -- Jahe -- Secukupnya gula merah dan garam --,"Tumis bumbu halus sampai harum -- Masukkan tulang / daging sapi dan tumis sampai pucat -- Tambahkan air panas dan kecap ,  aduk rata lalu tutup. Tunggu sampai air sedikit menyusut  ( kurleb 40menit kalo tulang ,  30menit kalo daging )  -- Baru masukkan petis ,  aduk² sampai rata -- Tutup kembali dan sekali2 diaduk agar tidak gosong. Tunggu sampai air menyusut. Jangan lupa cek rasa yaa. Lalu sajikan"
Nasi Kebuli Daging Sapi  ( Magic Com ) ,"4 cup beras  -- 1 / 4 kg daging sapi ,  potong dadu -- 500 ml air  ( sesuaikan dengan beras ,  nasi kebuli mawur )  -- Bumbu Halus : -- 4 siung bawang putih -- 6 siung bawang merah -- 2 ruas kunyit -- 1 / 2 sdt lada bubuk -- 1 / 2 sdt ketumbar bubuk -- secukupnya garam -- Bumbu Lain : -- 4 sdm bubuk kari -- 1 bungkus bumbu kari instan  -- 2 batang kayu manis -- 4 sdm minyak sayur -- 3 sdm margarin -- ","Rebus daging sapi hingga empuk ,  buang airnya. -- Haluskan bawang merah & bawang putih. Tumis bersama dengan margarin ,  lada bubuk ,  ketumbar bubuk ,  kunyit bubuk ,  bumbu kari instant & bubuk kari. Aduk rata. -- Tambahkan air ,  aduk rata & masak hingga mendidih. -- Masukkan daging sapi ,  aduk lagi & masak hingga 1 / 2 matang. Matikan kompor. -- Cuci bersih beras. Lalu masukkan daging sapi berserta kuahnya. Aduk rata. Nyalakan tombol cook. Biarkan hingga matang. Sajikan."
Gulai tunjang  ( gulai kaki sapi ) ,"1 / 4 kaki sapi -- 500 gr santan -- Bumbu halus : -- 1 ruas lengkuas -- 1 ruas jahe -- 1 ruas kunyit -- 3 butir kemiri -- 5 siung bawang merah -- 1 siung bawang putih -- 1 ons cabe merah keriting -- Secukupnya garam -- Pelengkap : -- 2 lembar daun salam -- 1 lembar daun kunyit -- 2 buah asam kandis -- 1 batang serai ,  geprek -- ","Didihkan air masukkan tunjang / kaki sapi ,  beri garam. Didihkan kembali kecilkan api ,  masak hingga tunjang agak empuk. Angkat sisihkan. -- Haluskan bumbu. Masukkan bumbu dalam air sisa rebusan tunjang ,  tambahkan santan dan pelengkap ,  didihkan. Setelah mendidih masukkan tunjang kedalam bumbu ,  masak hingga bumbu meresap dan tunjang empuk. Koreksi rasa. Jika sudah okey... angkat sajikan. -- Sajikan"
Resoles beef moza,Bahan Kulit Resoles -- 1 Cup Susu Cair -- 1 buah telur -- 2 Cup Tepung Terigu Serbaguna  ( aq pakai segitiga biru )  -- 2 tbsp butter yang dilelehkan -- Bahan Isian Resoles -- 500 gram Daging Sapi Cincang -- 3 Batang Wortel -- 2 Siung Bawang Bombay -- 2 batang daun bawang -- 4 buah telur rebus -- 1 Kotak keju Moza -- 2 buah Kentang Rebus yang dihaluskan -- 2 sdt garam -- 1 sdt merica -- 4 batang seledri -- 1 / 2 cup susu cair -- Bahan Menggoreng Resoles -- 1 Buah telur -- 1 cup tepung roti -- Minyak goreng --,"Membuat kulit resoles -- Campurkan semua bahan untuk membuat kulit resoles diaduk sampai rata. -- Cetak menggunakan teflon sedang. Aq pakai teflon kualik jadi lebih mudah. Oh yea jangan lupa apinya kecil aja. -- Bahan isian. Tumis bawang bombay cincang ,  kemudian setelah harum masukan wortel cincang. -- Masukkan 500 gram daging cincang masak sampai daging agak kecokelatan. Masukkan garam -- Masukkan kentang rebus kemudian masukan 1 / 2 cup susu cair -- Tunggu sampai airnya sedikit kemudian masukan seledri dan daun bawang. -- Masukan merica bubuk. Kemudian diaduk sampai rata -- Setelah jadi kulit resoles semua sekarang ambil satu kulit resoles kemudian diolesi telur -- Masukan isian resoles yang sudah dimasak kedalam kulit resoles -- Masukan keju moza dan telur rebus -- Digulung dan diolesi telur --  -- Masukan ke dalam tepung roti -- Setelah semua ready goreng dengan minyak panas dan sampai terendam. -- Hidangkan dengan cocolan saus atau dengan cabe rawit -- "
Rendang Daging Sapi,1 kg daging sapi potong potong  ( ukuran sesuai selera )  -- 2 kaleng santan cair ( @800ml )  -- 5 siung bawang merah diiris tipis tipis -- 2 siung bawang putih diiris tipis -- Garam -- Merica -- Kaldu sapi -- 2 lbr daun jeruk -- 1 lbr daun salam -- 1 sdm kunyit bubuk -- 4 buah cabe kering iris tipis --,"Tumis bawang merah dan putih hingga harum. Masukkan daun jeruk dan daun salam aduk hingga rata. Tambahkan cabe kering aduk kembali. Setelah semua bahan layu dan harum ,  masukkan garam ,  merica ,  kunyit bubuk dan kaldu sapi. Aduk hingga rata. -- Setelah seluruh bahan tercampur rata ,  tambahkan santan cair dan aduk kembali. -- Masukkan daging sapi sebelum santan mendidih ,  agar tekstur daging tidak rusak. Aduk hingga rata dan aduk secara perlahan hingga santan mendidih. -- Proses hingga santan mulai mengering akan ditandai dengan warna santan menjadi lebih gelap dan muncul banyak minyak dari santan tersebut. -- Disini waktu yang dibutuhkan hingga santan mulai menjadi kental sekitar 2 jam dengan api sedang dan kompor listrik. -- Cek rasa sambil diaduk. -- Rendang siap dihidangkan. -- "
Bacem Jeroan Sapi,1 / 4 kg paru sapi -- 1 / 2 kg babat sapi -- 2 Liter air kelapa -- 12 siung bawang merah -- 9 siung bawang putih -- 3 butir kemiri -- 6 lembar daun salam -- 3 keping kecil gula merah -- 1.5 sdm ketumbar -- 1 sdm merica -- 4.5 sdm kecap manis -- 1 / 4 sdt asam jawa -- 1 ruas lengkuas -- 1 ruas jahe -- Secukupnya garam -- Secukupnya minyak goreng --,"Haluskan bawang merah ,  bawang putih ,  ketumbar ,  merica ,  kemiri. Kemudian geprak lengkuas dan jahe. -- Panaskan air biasa hingga mendidih. Kemudian masukkan jerohan yang sudah dicuci beserta 3 lembar daun salam dan jahe geprek. Rebus kurang lebih 20menit untuk menghilangkan darah dan bau amis. Jika sudah ,  tiriskan dan potong sesuai selera. -- Panaskan air 1 liter air kelapa hingga mendidih kemudian masukkan bumbu halus ,  3 lembar daun salam ,  dan lengkuas geprek ,  jeroan yang sudah dipotong2 ,  gula merah ,  garam ,  dan kurang lebih 3 sendok air larutan asam jawa. Rebus hingga hampir asat. -- Tambahkan 1 liter air kelapa sisanya ,  dan kecap. Kemudian ungkep sampai daging empuk. Masak menggunakan api kecil saja. -- Jika sudah ,  goreng jeroan dengan sedikit minyak dan sebentar saja. Siap disajikan"
Paru sapi pedas,"500 gr paru sapi -- 1 buah jeruk nipis -- 1 sdm saos tomat -- 1 sdm saos cabe -- 1 sdt saos tiram -- 1 sdt saos raja rasa -- bumbu halus : -- 5 siung bawang putih -- 10 siung bawang merah -- 1 cm jahe -- 1 cm kunyit -- 1 / 2 sdt ketumbar -- 1 / 2 sdt butir merica -- 10 biji caberawit -- 5 biji cabe merah besar -- secukupnya garam ,  gula -- secukupnya kaldu bubuk sapi -- ",Cuci besih paru potong sesuai selera ketebalan kira” 1cm beri perasan jeruk nipis dan diamkan - 15mnt -- Setelah 15mnt unkep dengan cara panaskan wajan dengan sedikit minya lalu unkep paru sampai luarnya agak kering -- Setelah itu tumis bumbu halus sampaik harum masuk kan ke 4macam saos tadi juga kaldu bubuk garam juga gula aduk2 lalu beri air 500ml dan masak biarkan mendidih lalu tes rasa ttup sampai air benar2 menyusut dan fenderung kental kemuidan angkat dan siap di sajikan --
Roast Beef Dilamo Sambal Matah,100 gr daging roast beef dilamo -- secukupnya Garam -- secukupnya Lada putih -- Minyak untuk menumis -- Air matang -- Sambal matah : -- secukupnya Irisan Bawang merah -- secukupnya Irisan Bawang putih -- secukupnya Tomat Potong kecil   ( buang bijinya )  -- secukupnya Irisan daun jeruk   ( buang tulang daunnya )  -- secukupnya Irisan cabe rawit domba -- secukupnya Perasan air lemon -- Minyak panas -- Garam --,"Sambal matah : campur semua bahan di wadah kecil ,  beri perasaan lemon dan minyak panas. Sisihkan -- Tuangkan minyak goreng ke wajan ,  masukkan daging roast beef dilamo. Aduk sedikit sambil diberi garam & merica. Beri air sedikit ,  aduk ,  tunggu hingga susut. Koreksi rasa. -- Masukan sambal matah secukupnya ke dalam wajan ,  aduk. Koreksi rasa. Sajikaan dipiring -- "
Daging Sapi Saus Tiram,"250 gram daging sapi  ( yang sudah direbus ,  potong dadu )  -- 1 buah bawang bombay -- 2 buah bawang putih -- 7 buah cabe rawit -- 1 bungkus saori saus tiram -- 1 sendok kecap manis -- Garam -- Gula jawa -- ","Potong- potong bawang putih dan bawang bombay -- Tumis bawang putih ,  bawang bombay dan cabe rawit. Tambahkan garam dan gula jawa. -- Masukkan daging sapi yang sudah direbus agar dagingnya sudah empuk. Lalu tambahkan kecap manis dan saori saus tiram. Tambahkan sedikit air. -- Koreksi rasa dan daging sapi saus tiram praktis dan sederhana siap disajikan. -- "
Soto Betawi Daging Sapi,300 gr daging sapi cuci bersih lalu potong dadu -- 2 batang serai  ( geprek )  -- 6 lembar daun jeruk -- 4 lembar daun salam -- 2 butir kapulaga -- 4 butir cengkeh -- 2 batang kayu manis -- 2 blok kaldu sapi  -- 100 ml santan  ( 20ml santan kara  air )  -- 6 sdt gula pasir -- 1 sendok teh garam -- Bumbu halus : -- 11 siung bawang merah -- 8 siung bawang putih -- 1 / 2 sdt jinten -- 4 butir kemiri -- 6 buah cabe kriting -- 4 buah cabe rawit -- 1 ruas kunyit -- 1 ruas lengkuas -- 1 ruas jahe -- 1 sdt lada bubuk -- 1 sdt ketumbar bubuk --,"Rebus potongan daging sampai empuk lalu ambil 500ml air rebusan ditambah 2blok kaldu sapi -- Tumis sereh ,  daun salam dana daun jeruk sampai keluar aroma lalu masukan bumbu halus aduk sampai wangi -- Masukan daging sapi yang sudah di rebus lalu masukan air kaldu ,  santan ,  kapulaga ,  kayu manis dan cengkih beri gula dan garam -- Masak jangan sampai santan pecah --  koreksi rasa -- Setalah matang bisa ditambahkan daun bawang ,  telur dan bahan pelengkap lainnya"
Pentol Daging Sapi,"1 / 4 Kg Daging Sapi  ( 250 gr )  -- 3 Sdm Tepung Kanji  /  Tapioka -- 1 Sdm Bawang Merah Goreng -- 1 Sdm Bawang Putih Goreng -- 2 Sdt Gula Pasir -- 1 Sdt Ladaku Bubuk -- 1 Sdm Baking Powder -- Secukupnya Garam -- 1 Butir Telur -- Secukupnya Es Batu ,  Hancurkan Dahulu -- ","Potong daging berbentuk dadu-dadu berukurang sedang.. -- Masukkan daging ,  es batu ,  bawang merah dan bawang putih goreng kedalam blender. Hancurkan sampai adonan lembut. -- Tuang ke wadah. Masukkan gula ,  garam ,  merica bubuk ,  tepung kanji ,  baking powder dan telur. Aduk hingga merata. -- Panaskan air ,  sampai mendidih. Beri beberapa tetes minyak pada air didihan tadi. Cetak pentol sesuai ukuran. -- Tunggu pentol hingga melayang diatas air mendidih ,  pertanda pentol sudah matang dan siap di sajikan. -- "
Sapi Cabe Hijau,"250 gr daging sapi -- 1 / 2 siung bawang bombay -- 5 siung bawang merah -- 2 siung bawang putih -- 10 bh cabe ijo keriting -- 5 bh cabe rawit -- 2 sdm saus tiram -- 1 / 2 sdt garam ,  gula pasir ,  merica bubuk ,  kaldu bubuk -- 50 ml air -- ","Iris tipis daging. Iris bawang merah ,  bawang putih ,  bawang bombay dan cabe. -- Tumis bawnag merah ,  bawang bombay dan bawang putih sampai harum. -- Lalu masukkan potongan cabe ,  aduk rata. -- Masukkan potongan daging sapi. -- Aduk rata tambahkan air ,  garam ,  gula pasir ,  kaldu bubuk dan merica bubuk. Aduk2 sebentar sampai bumbu merata. -- Diamkan sampai bumbu meresap dalam daging ,  aduk2 perlahan sampai kuahnya tinggal sedikit. Koreksi rasa. -- Siapkan nasi dalam mangkok kemudian tata daging di atas nasi. Sapi cabe hijau siap dihidangkan selagi hangat.  -- "
Sapi Lada hitam,1 buah paprika hijau -- 1 buah bawang bombay -- 5 siung bawang putih -- secukupnya Cabe merah -- Jahe -- Daun jeruk -- Lada hitam bubuk atau kasar dihaluskan -- Daun bawang -- Saos tiram -- Garam -- Air -- 1 / 4 kg Daging sapi --,"Iris semua bumbu -- Goreng daging setengah matang supaya empuk -- Tumis semua bumbu -- Masukkan daging ,  kecap ,  saos tiram ,  garam ,  dan air. Cek rasa -- Masak sampai matang. -- "
Selad beef homemade,1 kg daging sapi giling -- 7 siung bawang putih -- secukupnya Merica -- 1 bh bawang bombay --  Garam --  Gula --  Cuka -- Kecap manis -- Daun selada -- Mentimun segar -- Wortel rebus -- Buncis rebus -- 2 bh tomat segar -- Kentang goreng -- Mayones -- Tepung maizena --,"Campur daging giling , bawang putih  ( dihaluskan )  , garam , tepung maizena , bawang bombay cincang , gula , merica  ( dihaluskan )  ,  -- Setelah tercampur , koreksi rasa , baluri dengan kecap manis , lalu di grill / panggang di teflon anti lengket , masak hingga matang -- Selanjutnya buat kuah selad nya ,  cuka / air asam jawa , campur dengan gula , bawang putih halus , garam , kecap manis  ( sedikit )  masak diatas api kecil , koreksi rasa.setelah matang , tata beef di piring saji , dengan sayur mayur , tata seperti gambar , lalu siram dengan kuah cuka asam manis ,  kasih mayones.silahkan mencoba. -- "
Sop usus sapi,1 / 4 kg usus sapi -- 1 buah wortel -- 1 / 4 kg kol -- 1 buah tomat -- 1 tangkai daun bawang -- 2 tangkai daun seledri -- Bumbu: -- 5 siung Bawang putih -- 3 siung Bawang merah -- 1 bungkus Ladaku -- 1 bungkus Masako rasa sapi -- secukupnya Minyak goreng -- secukupnya Air --,"Cuci bersih usus sapi lalu rebus sebentar kurang lebih 15 menit. Lalu potong potong cuci tiriskan. -- Cuci dan potong semua sayuran. Tiriskan -- Iris tipis bawang merah lalu goreng. Tiriskan -- Haluskan bawang putih. Tumis sampai harum lalu masukkan air. -- Setelah air mendidih masukkan wortel dan kol. Jika sudah setengah matang masukkan usus ,  ladaku dan masako. -- Masak hingga matang. Tes rasa. Matikan kompor. Masukkan daun bawang ,  daun seledri ,  dan tomat. -- Siap sajikan -- "
Risoles Beef Cheese Mayo,Bahan kulit : -- 150 gr tepung terigu  -- 350 ml susu cair full cream  -- 1 butir telur  1 kuning telur  -- Sejumput garam  --  margarin 🧀 -- Bahan isian : -- smoke beef  --   keju  --  Mayonaise  --  minyak goreng  --,"Campur tepung ,  telur ,  garam dan susu dan aduk hingga merata. -- Panaskan teflon yang sudah diolesi margarin ,  dadar adonan per layer2 tipis hingga habis. -- Siapkan bahan isian ,  iris2 keju dan smoke beef. -- Isikan keju ,  smoke beef dan mayonaise kedalam kulit risol ,  lalu gulung seperti amplop. -- Setelah semua sudah digulung ,  celupkan ke putih telur lalu balurkan tepung roti. Simpan dalam kulkas kira-kira 1 jam. -- Goreng dengan api sedang hingga kecoklatan dan sajikan. -- "
Sup kikil sapi kuah bening,1 kg kikil sapi  ( presto )  -- 3 buah wortel lokal  ( potong korek api tebal  / sesuai selera )  -- 2 helai daun bawang -- 2 helai daun salam  ( kalo bisa yang masih basah / baru di petik )  -- Bumbu halus :: -- 7 siung bawang putih -- 1 sdt pala bubuk -- 1 sdt merica -- Pelengkap :: -- Daun seledri iris tipis -- Bawang goreng -- Jeruk nipis -- Sambal cabe rawit --,"Presto kikil sapi sampai lunak... Sambil nunggu kikil lunak kita siapin bumbu bumbunya... -- Tumis bumbu halus.... Didihkan air setelah mendidih masukan daun bawang ,  bumbu halus.... -- Setelah kikil empuk masukan kikil ke dalam air mendidih yang sudah di isi dengan bumbu halus ,  masukan daun salam wortel , garam... -- Setelah dirasa empuk dan sudah tes rasa ,  mari kita sajikan dengan taburan bawang goreng ,  seledri ,  perasan jeruk"
Kikil sapi lombok ijo,1 bks kikil -- 5 biji cabe besar hijau -- Bumbu : -- 3 cm jahe geprek -- 2 cm lengkuas geprek -- 5 siung bawang putih iris2 -- 3 siung bawang merah iris2 -- 1 sdt garam -- 3 sdm gula pasir -- 3 biji cabe rawit -- 3 sdm kecap manis -- 1 sdm kaldu bubuk sapi --,"Cuci kikil ,  potong2. Tumis bumbu hingga layu ,  masukan kikil dan sedikit air serta gula ,  garam ,  kaldu dan kecap aduk merata sampai bumbu meresap ,  masukan irisan cabe hijau aduk sampai rata ,  koreksi rasa dan siap disajikan. -- "
Bakso sapi oatmeal,100 gram daging sapi giling -- 2 sdm tepung oatmeal  ( oatmeal diblender )  -- 1 sdt kaldu sapi bubuk  ( koala )  -- Sejumput kaldu jamur -- Sejumput garam -- Sejumput merica -- Sepanci air --,"Didihkan air. Kecilkan api sampai hampir mati. -- Campur semua bahan ,  bulat-bulatkan. Masukkan ke dalam air mendidih. -- Angkat jika sudah mengapung. -- "
Tumis Sawi Baso Sapi,1 / 2 Sawi Putih -- 4 buah Baso Sapi -- 5 siung Bawang Merah -- 3 siung Bawang Putih -- 3 buah Cabe Rawit Merah -- 1 lembar Daun Salam -- Secukupnya Gula -- Secukupnya Garam -- Secukupnya Royco rasa sapi -- 1 sendok teh mentega -- 1 1 / 2 gelas air matang --,"Iris sawi lalu cuci bersih -- Cuci bersih bawang merah ,  bawang putih ,  cabe rawit lalu iris tipis  ( btw aku kehabisan daun salam )   -- Belah 2 baso ,  lalu iris tipis -- Tumis bawang merah , bawang putih dan daun salam  ( kalau ada )  sampai harum ,  lalu masukkan cabe rawit ,  masukkan garam dan gula secukupnya -- Masukkan potongan baso sapi ,  aduk terus sampai baso sapi agak mengembang dan bumbu meresap ,  lalu tambahkan air dan royco sesuai selera -- Masukkan mentega -- Setelah mendidih ,  masukkan sawi -- Aduk2 sebentar lalu angkat -- Sajikan selagi panas -- "
Dendeng Sapi Balado,1 pack daging dendeng olahan -- 2 buah kentang besar -- resep dendeng bikin sendiri sebelum di goreng: -- 200 gr daging sapi -- 4 siung bawang putih -- 1 / 2 sdt merica -- 1 sdt garam -- bumbu tumbuk kasar untuk menumis : -- 4 buah cabe merah besar -- 4 buah cabe rawit merah  ( sesuai selera )  -- 4 siung bawang merah -- 1 buah tomat -- secukupnya gula -- secukupnya garam --,daging sapi di rebus lalu di iris tipis dan di tumbuk di atas bumbu dendeng lalu goreng hingga matang. -- Goreng kering daging dan kentang  -- Tumbuk kasar bumbu halus. -- Tumis bumbu hingga harum masukkan garam gula  ( boleh pakai penyedap )  tes rasa. terakhir masukkan kentang dan daging dendeng aduk2 hingga rata. masak sebentar angkat. -- Sajikan dan selamat mencoba.
Dendeng basah Daging sapi,1 / 4 daging sapi Bahan tumis : -- secukupnya Cabai -- 1 buah Tomat -- 4 siung bawang merah -- 3 siung bawang putih -- secukupnya Minyak goreng -- ✔️bumbu rebus daging : -- secukupnya Ketumbar -- secukupnya Kunyit -- 1 sachet Lada bubuk -- 1 batang serai -- 1 daun jeruk -- 1 daun salam -- secukupnya Garam -- secukupnya Air --,"Cuci daging ,  iris tipis... Siapkan air untuk merebus daging. haluskan bumbu rebus daging ,  setelah air mendidih masukan bumbu rebusnya.. Masukkan daging ,  rebus sampai dirasa daging nya empuk... -- Setelah daging dirasa empuk ,  angkat tiriskan. Dan goreng setengah matang -- Bahan tumis di haluskan kasar saja. Tidak perlu terlalu halus.. Kemudian di tumis sampai wangi.. Beri air bekas rebusan daging sedikit saja. Biarkan smpai air sedikit menyusut.. Tambahkan garam ,  gula ,  kaldu bubuk -- Koreksi rasa sampai dirasa pas dilidah -- "
Daging Sapi Terik,1 Kg Daging sapi -- Bumbu Halus -- 5 Biji Cabai besar -- 15 Biji Cabai Rawit -- 5 Siung Bawang putih -- 10 siung Bawang merah -- 10 Biji Kemiri -- 2 Batang Sereh -- 3 Lembar Daun Salam -- Daun Jeruk -- 1 Ibu Jari Laos -- 3 Sendok Kecap Manis -- Secukupnya santan --,"Haluskan Semua bumbu -- Tumis bumbu daun sereh ,  lengkuas geprek ,  daun salam -- Kemudian masukkan santan -- Masukkan daging sampai empuk kurleb 30 menit  ( ungkep )  -- "
Sapi Saus Oriental,1 / 2 kg Daging Sapi tanpa lemak --  brokokoli / kol / buncis.  -- 3 buah cabai hijau besar -- Bumbu halus: -- 5 siung bawang putih -- 1 / 2 sdt ketumbar bubuk -- 5 buah cabai rawit merah  ( sesuai selera )  -- 3 cm jahe -- Sauce : -- 5 sdm saus tomat -- 2 sdm kecap inggris --  Garam --  Gula pasir --  Cuka --  Minyak goreng untuk menumis bumbu halus --  Air --,"Daging sapi dipotong kecil lalu dimasukan pada air mendidih. Rebus sekitar 2 jam  ( sampai empuk ) .Lalu tiriskan. Ingat ,  jangan memasukan daging pada air yang belum mendidih saat proses merebus ,  karena akan membuat daging alot atau keras -- Sayuran dan cabai diiris tipis lalu sisihkan -- Panaskan minyak goreng di wajan anti lengket lalu masukan bumbu halus , tumis sampai harum dan berwarna kecoklatan muda -- Masukan saus tomat dan kecap inggris lalu aduk ,  lalu masukan daging sapi yang sudah direbus hingga matang ke dalam tumisan saus ,  aduk hingga rata -- Tambahkan air sedikit demi sedikit lalu masukan sayuran dan cabai. Masukan garam , gula dan cuka secara bergantian sambil dicicipi. Tumis kembali hingga sayuran matang. Lalu angkat dan siap disajikan. -- "
"Paru Sapi Crispy ""non MSG""",1 / 4 kg paru sapi -- 5 siung bawang putih -- 1 / 2 ruas ibu jari kunyit -- 2 sdm ketumbar -- 1 / 4 sdt jinten -- 1 sdm gula pasir --  Minyak goreng --  Tepung terigu --  Garam --  Air --,"Paru sapi dicuci hingga bersih ,  lalu tiriskan -- Semua bumbu dihaluskan -- Siapkan air dalam panci ,  lalu dimasak hingga mendidih. Setelah mendidih masukkan paru sapi ,  dimasak sampai berubah warna dari kemerahan hingga menjadi warna kecoklatan. Lalu tiriskan. Setelah itu diiris tipis-tipis sesuai selera -- Kemudian paru sapi yang sudah diiris tipis-tipis dilumuri bumbu halus ,  simpan didalam kulkas kurang lebih 1 jam  ( sampai bumbu meresap )  -- Setelah itu paru sapi yang sudah dikasih bumbu dibalur dengan tepung terigu. Siapkan minyak panas lalu goreng hingga matang -- Paru goreng tepung siap disajikan -- "
Paru sapi rica rica,1 / 2 kg paru sapi -- Bumbu geprek: -- 1 btg serai -- 2 lbr daun salam -- 2 lbr daun jeruk -- Bumbu halus : -- 6 bawang merah -- 2 bawang putih -- 1 ruas kunyit -- 2 ruas jahe -- 1 sdt ketumbar -- 1 buah tomat -- 5 cabai keriting -- 10 cabai rawit merah -- 1 / 2 sdt mrica -- secukupnya Garam n gula -- Pelengkap : -- Kemangi --,"Cuci bersih paru ,  rebus sebentar tiriskan dan potong2 -- Tumis bumbu halus ,  masukkan bumbu geprek dan tambahkan sedikit air masak hingga mendidih -- Kemudian masukkan paru tambahkan garam dan gula masak hingga matang -- Tambahkan kemangi ,  koreksi rasa. dan matikan api -- Paru sapi rica2 siap di hidangkan -- "
Balado kulit sapi pedas,1 / 4 kg kulit sapi -- 3 buah cabe tanjung besar -- 4 siung bawang putih -- 3 siung bawang merah -- 1 / 2 sdm garam -- 1 / 4 potong Gula merah -- 7 buah cabe gendot -- 1 buah tomat --  air --,"Cuci bersih kulit sapi ,  potong2 kecil ,  rebus sebentar ,  sisihkan. -- Haluskan bumbu2 kecuali tomat dan cabe gendot. -- Tumis hingga harum beri sedikit air. Masukkan kulit nya aduk2 ungkep. Tambahkan tomat dan cabe aduk rata ungkep lg tunggu meresap. Tes rasa. -- siap disajikan"
